,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,Batting Team,Bowling Team,Match ID,Match Info,Match No,Season
5,SA Abbott,3.2,0,28,1,8.4,,,,1,0,Melbourne Renegades,Sydney Thunder,571238," (N)Big Bash League at Sydney, Dec 14 2012 | Match Summary | ESPNCricinfo",38,2
6,CH Gayle,1,0,9,0,9,,,,1,0,Melbourne Renegades,Sydney Thunder,571238," (N)Big Bash League at Sydney, Dec 14 2012 | Match Summary | ESPNCricinfo",38,2
1,GJ Maxwell,1,0,9,0,9,,,,0,0,Hobart Hurricanes,Melbourne Stars,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
2,CJ McKay,4,0,25,3,6.25,,,,1,0,Hobart Hurricanes,Melbourne Stars,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
3,SL Malinga,4,0,19,2,4.75,,,,0,0,Hobart Hurricanes,Melbourne Stars,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
4,JP Faulkner,4,0,23,2,5.75,,,,0,0,Hobart Hurricanes,Melbourne Stars,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
5,SK Warne,4,0,31,0,7.75,,,,0,0,Hobart Hurricanes,Melbourne Stars,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
6,CL White,2,0,12,1,6,,,,1,0,Hobart Hurricanes,Melbourne Stars,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
7,LJ Wright,1,0,14,0,14,,,,0,0,Hobart Hurricanes,Melbourne Stars,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
1,DE Bollinger,4,2,22,2,5.5,,,,0,0,Melbourne Stars,Hobart Hurricanes,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
2,MG Hogan,4,0,30,1,7.5,,,,0,0,Melbourne Stars,Hobart Hurricanes,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
3,XJ Doherty,2,0,12,0,6,,,,0,0,Melbourne Stars,Hobart Hurricanes,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
4,B Laughlin,4,0,14,3,3.5,,,,0,0,Melbourne Stars,Hobart Hurricanes,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
5,SB Styris,2,0,27,0,13.5,,,,0,0,Melbourne Stars,Hobart Hurricanes,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
6,EP Gulbis,3.1,0,28,0,8.84,,,,0,1,Melbourne Stars,Hobart Hurricanes,571239," (N)Big Bash League at Melbourne, Dec 15 2012 | Match Summary | ESPNCricinfo",39,2
1,AC Thomas,4,0,27,2,6.75,,,,1,0,Sydney Sixers,Perth Scorchers,571240," (N)Big Bash League at Sydney, Dec 16 2012 | Match Summary | ESPNCricinfo",40,2
2,MA Beer,4,0,19,2,4.75,,,,0,0,Sydney Sixers,Perth Scorchers,571240," (N)Big Bash League at Sydney, Dec 16 2012 | Match Summary | ESPNCricinfo",40,2
3,NM Coulter-Nile,4,0,9,1,2.25,,,,0,0,Sydney Sixers,Perth Scorchers,571240," (N)Big Bash League at Sydney, Dec 16 2012 | Match Summary | ESPNCricinfo",40,2
4,GB Hogg,4,0,15,1,3.75,,,,0,0,Sydney Sixers,Perth Scorchers,571240," (N)Big Bash League at Sydney, Dec 16 2012 | Match Summary | ESPNCricinfo",40,2
5,HWR Cartwright,4,0,41,2,10.25,,,,1,0,Sydney Sixers,Perth Scorchers,571240," (N)Big Bash League at Sydney, Dec 16 2012 | Match Summary | ESPNCricinfo",40,2
1,B Lee,4,0,27,0,6.75,,,,1,1,Perth Scorchers,Sydney Sixers,571240," (N)Big Bash League at Sydney, Dec 16 2012 | Match Summary | ESPNCricinfo",40,2
2,LW Feldman,3.2,0,13,1,3.9,,,,1,0,Perth Scorchers,Sydney Sixers,571240," (N)Big Bash League at Sydney, Dec 16 2012 | Match Summary | ESPNCricinfo",40,2
3,SP Narine,4,0,16,0,4,,,,1,1,Perth Scorchers,Sydney Sixers,571240," (N)Big Bash League at Sydney, Dec 16 2012 | Match Summary | ESPNCricinfo",40,2
4,SNJ O'Keefe,4,0,35,1,8.75,,,,1,0,Perth Scorchers,Sydney Sixers,571240," (N)Big Bash League at Sydney, Dec 16 2012 | Match Summary | ESPNCricinfo",40,2
5,BMAJ Mendis,4,0,19,1,4.75,,,,0,0,Perth Scorchers,Sydney Sixers,571240," (N)Big Bash League at Sydney, Dec 16 2012 | Match Summary | ESPNCricinfo",40,2
1,AC Thomas,3,0,15,2,5,,,,0,0,Brisbane Heat,Perth Scorchers,571241," (N)Big Bash League at Brisbane, Dec 18 2012 | Match Summary | ESPNCricinfo",41,2
2,MA Beer,4,0,17,2,4.25,,,,0,0,Brisbane Heat,Perth Scorchers,571241," (N)Big Bash League at Brisbane, Dec 18 2012 | Match Summary | ESPNCricinfo",41,2
3,NM Coulter-Nile,3,0,39,0,13,,,,0,0,Brisbane Heat,Perth Scorchers,571241," (N)Big Bash League at Brisbane, Dec 18 2012 | Match Summary | ESPNCricinfo",41,2
4,GB Hogg,2,0,18,0,9,,,,0,0,Brisbane Heat,Perth Scorchers,571241," (N)Big Bash League at Brisbane, Dec 18 2012 | Match Summary | ESPNCricinfo",41,2
5,HWR Cartwright,1.1,0,18,0,15.42,,,,1,0,Brisbane Heat,Perth Scorchers,571241," (N)Big Bash League at Brisbane, Dec 18 2012 | Match Summary | ESPNCricinfo",41,2
1,KAJ Roach,1,0,5,0,5,,,,0,0,Perth Scorchers,Brisbane Heat,571241," (N)Big Bash League at Brisbane, Dec 18 2012 | Match Summary | ESPNCricinfo",41,2
2,BCJ Cutting,1,0,11,0,11,,,,0,0,Perth Scorchers,Brisbane Heat,571241," (N)Big Bash League at Brisbane, Dec 18 2012 | Match Summary | ESPNCricinfo",41,2
3,JR Hopes,1,0,6,1,6,,,,0,0,Perth Scorchers,Brisbane Heat,571241," (N)Big Bash League at Brisbane, Dec 18 2012 | Match Summary | ESPNCricinfo",41,2
4,DT Christian,1,0,21,0,21,,,,0,0,Perth Scorchers,Brisbane Heat,571241," (N)Big Bash League at Brisbane, Dec 18 2012 | Match Summary | ESPNCricinfo",41,2
5,NLTC Perera,0.2,0,8,0,24,,,,0,0,Perth Scorchers,Brisbane Heat,571241," (N)Big Bash League at Brisbane, Dec 18 2012 | Match Summary | ESPNCricinfo",41,2
1,AW O'Brien,4,0,19,1,4.75,,,,1,0,Hobart Hurricanes,Melbourne Renegades,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
2,DJ Pattinson,2,0,16,0,8,,,,0,0,Hobart Hurricanes,Melbourne Renegades,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
3,WD Sheridan,2,0,6,0,3,,,,0,0,Hobart Hurricanes,Melbourne Renegades,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
4,NJ Rimmington,4,0,18,3,4.5,,,,1,0,Hobart Hurricanes,Melbourne Renegades,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
5,MN Samuels,4,0,22,3,5.5,,,,1,0,Hobart Hurricanes,Melbourne Renegades,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
6,M Muralitharan,4,0,16,2,4,,,,1,0,Hobart Hurricanes,Melbourne Renegades,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
1,DE Bollinger,2,0,20,0,10,,,,1,0,Melbourne Renegades,Hobart Hurricanes,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
2,XJ Doherty,4,1,17,2,4.25,,,,0,0,Melbourne Renegades,Hobart Hurricanes,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
3,MG Hogan,1,0,16,1,16,,,,0,0,Melbourne Renegades,Hobart Hurricanes,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
4,B Laughlin,3,0,19,0,6.33,,,,1,0,Melbourne Renegades,Hobart Hurricanes,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
5,JJ Krejza,2,0,20,0,10,,,,3,0,Melbourne Renegades,Hobart Hurricanes,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
6,SB Styris,1.2,0,11,0,8.25,,,,0,0,Melbourne Renegades,Hobart Hurricanes,571242," (N)Big Bash League at Melbourne, Dec 19 2012 | Match Summary | ESPNCricinfo",42,2
1,CH Gayle,2,0,20,0,10,,,,0,0,Adelaide Strikers,Sydney Thunder,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
2,DP Nannes,4,0,17,4,4.25,,,,1,0,Adelaide Strikers,Sydney Thunder,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
3,CP Tremain,4,0,43,1,10.75,,,,0,1,Adelaide Strikers,Sydney Thunder,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
4,SJ Coyte,3,0,32,0,10.66,,,,0,0,Adelaide Strikers,Sydney Thunder,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
5,Azhar Mahmood,2,0,18,0,9,,,,1,0,Adelaide Strikers,Sydney Thunder,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
6,A Zampa,4,0,38,1,9.5,,,,0,0,Adelaide Strikers,Sydney Thunder,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
7,SA Abbott,1,0,6,0,6,,,,0,0,Adelaide Strikers,Sydney Thunder,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
1,J Botha,4,0,30,0,7.5,,,,0,0,Sydney Thunder,Adelaide Strikers,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
2,KW Richardson,3.4,0,9,3,2.45,,,,1,0,Sydney Thunder,Adelaide Strikers,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
3,SW Tait,3,0,22,3,7.33,,,,4,0,Sydney Thunder,Adelaide Strikers,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
4,GD Putland,2,0,21,0,10.5,,,,1,0,Sydney Thunder,Adelaide Strikers,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
5,KA Pollard,3,0,19,1,6.33,,,,0,0,Sydney Thunder,Adelaide Strikers,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
6,CJ Boyce,3,0,24,2,8,,,,1,0,Sydney Thunder,Adelaide Strikers,571243," (N)Big Bash League at Sydney, Dec 20 2012 | Match Summary | ESPNCricinfo",43,2
1,B Lee,4,0,25,2,6.25,,,,1,0,Melbourne Stars,Sydney Sixers,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
2,SNJ O'Keefe,3,0,11,0,3.66,,,,1,0,Melbourne Stars,Sydney Sixers,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
3,LW Feldman,2,0,23,0,11.5,,,,0,0,Melbourne Stars,Sydney Sixers,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
4,SP Narine,4,0,31,0,7.75,,,,0,1,Melbourne Stars,Sydney Sixers,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
5,BMAJ Mendis,2,0,24,0,12,,,,0,0,Melbourne Stars,Sydney Sixers,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
6,MC Henriques,2,0,30,0,15,,,,0,0,Melbourne Stars,Sydney Sixers,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
7,IA Moran,3,0,30,3,10,,,,1,0,Melbourne Stars,Sydney Sixers,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
1,JP Faulkner,4,0,24,0,6,,,,3,1,Sydney Sixers,Melbourne Stars,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
2,CJ McKay,4,0,40,1,10,,,,0,0,Sydney Sixers,Melbourne Stars,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
3,SL Malinga,4,0,18,1,4.5,,,,1,0,Sydney Sixers,Melbourne Stars,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
4,DJ Hussey,1,0,14,0,14,,,,0,0,Sydney Sixers,Melbourne Stars,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
5,SK Warne,4,0,32,2,8,,,,1,0,Sydney Sixers,Melbourne Stars,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
6,CL White,3,0,24,1,8,,,,1,0,Sydney Sixers,Melbourne Stars,571244," (N)Big Bash League at Melbourne, Dec 21 2012 | Match Summary | ESPNCricinfo",44,2
1,WD Sheridan,4,0,27,1,6.75,,,,0,0,Brisbane Heat,Melbourne Renegades,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
2,MN Samuels,4,0,18,0,4.5,,,,0,0,Brisbane Heat,Melbourne Renegades,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
3,DJ Pattinson,4,0,32,2,8,,,,1,0,Brisbane Heat,Melbourne Renegades,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
4,AW O'Brien,2,0,14,1,7,,,,0,0,Brisbane Heat,Melbourne Renegades,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
5,NJ Rimmington,2,0,19,0,9.5,,,,2,0,Brisbane Heat,Melbourne Renegades,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
6,M Muralitharan,4,0,22,2,5.5,,,,0,0,Brisbane Heat,Melbourne Renegades,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
1,KAJ Roach,3.1,0,32,1,10.1,,,,0,0,Melbourne Renegades,Brisbane Heat,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
2,DT Christian,4,0,27,0,6.75,,,,1,0,Melbourne Renegades,Brisbane Heat,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
3,BCJ Cutting,4,0,12,2,3,,,,0,0,Melbourne Renegades,Brisbane Heat,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
4,JR Hopes,4,0,20,1,5,,,,0,0,Melbourne Renegades,Brisbane Heat,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
5,NLTC Perera,4,0,38,0,9.5,,,,0,0,Melbourne Renegades,Brisbane Heat,571245," (N)Big Bash League at Melbourne, Dec 22 2012 | Match Summary | ESPNCricinfo",45,2
1,SA Abbott,1,0,8,0,8,,,,2,0,Hobart Hurricanes,Sydney Thunder,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
2,DP Nannes,4,0,44,0,11,,,,0,0,Hobart Hurricanes,Sydney Thunder,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
3,SJ Coyte,3,1,17,0,5.66,,,,0,0,Hobart Hurricanes,Sydney Thunder,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
4,Azhar Mahmood,3,0,44,0,14.66,,,,1,1,Hobart Hurricanes,Sydney Thunder,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
5,A Zampa,4,0,26,3,6.5,,,,1,0,Hobart Hurricanes,Sydney Thunder,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
6,SJC Keen,1,0,10,0,10,,,,0,0,Hobart Hurricanes,Sydney Thunder,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
7,CH Gayle,4,0,25,1,6.25,,,,1,0,Hobart Hurricanes,Sydney Thunder,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
1,SB Styris,4,0,25,1,6.25,,,,1,0,Sydney Thunder,Hobart Hurricanes,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
2,DE Bollinger,4,0,34,1,8.5,,,,1,0,Sydney Thunder,Hobart Hurricanes,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
3,EP Gulbis,3,0,16,1,5.33,,,,0,1,Sydney Thunder,Hobart Hurricanes,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
4,B Laughlin,4,0,23,2,5.75,,,,1,0,Sydney Thunder,Hobart Hurricanes,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
5,XJ Doherty,4,0,32,3,8,,,,0,0,Sydney Thunder,Hobart Hurricanes,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
6,RT Ponting,1,0,11,1,11,,,,1,0,Sydney Thunder,Hobart Hurricanes,571246," (D/N)Big Bash League at Hobart, Dec 23 2012 | Match Summary | ESPNCricinfo",46,2
1,KW Richardson,4,0,33,0,8.25,,,,3,0,Sydney Sixers,Adelaide Strikers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
2,BE Young,3,0,11,1,3.66,,,,0,0,Sydney Sixers,Adelaide Strikers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
3,SW Tait,3,0,13,2,4.33,,,,1,1,Sydney Sixers,Adelaide Strikers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
4,CJ Boyce,3,0,17,0,5.66,,,,0,0,Sydney Sixers,Adelaide Strikers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
5,J Botha,3,0,22,0,7.33,,,,0,0,Sydney Sixers,Adelaide Strikers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
6,KA Pollard,1,0,15,0,15,,,,0,0,Sydney Sixers,Adelaide Strikers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
7,MJ Johnston,3,0,22,1,7.33,,,,0,0,Sydney Sixers,Adelaide Strikers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
1,B Lee,4,0,32,0,8,,,,0,1,Adelaide Strikers,Sydney Sixers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
2,SNJ O'Keefe,2.5,0,24,1,8.47,,,,3,0,Adelaide Strikers,Sydney Sixers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
3,SP Narine,4,0,27,0,6.75,,,,1,0,Adelaide Strikers,Sydney Sixers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
4,LW Feldman,1,0,14,0,14,,,,0,0,Adelaide Strikers,Sydney Sixers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
5,JK Lalor,2,0,23,0,11.5,,,,0,0,Adelaide Strikers,Sydney Sixers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
6,SPD Smith,2,0,16,0,8,,,,0,0,Adelaide Strikers,Sydney Sixers,571247," (N)Big Bash League at Adelaide, Dec 23 2012 | Match Summary | ESPNCricinfo",47,2
1,DE Bollinger,4,0,20,1,5,,,,0,0,Sydney Sixers,Hobart Hurricanes,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
2,JJ Krejza,4,0,26,0,6.5,,,,1,0,Sydney Sixers,Hobart Hurricanes,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
3,MG Hogan,4,0,47,1,11.75,,,,0,0,Sydney Sixers,Hobart Hurricanes,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
4,B Laughlin,4,0,31,4,7.75,,,,1,0,Sydney Sixers,Hobart Hurricanes,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
5,XJ Doherty,4,0,26,2,6.5,,,,0,0,Sydney Sixers,Hobart Hurricanes,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
1,JK Lalor,3,0,28,0,9.33,,,,0,0,Hobart Hurricanes,Sydney Sixers,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
2,B Lee,4,0,21,1,5.25,,,,1,0,Hobart Hurricanes,Sydney Sixers,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
3,SP Narine,4,0,39,0,9.75,,,,0,1,Hobart Hurricanes,Sydney Sixers,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
4,SNJ O'Keefe,2,0,18,0,9,,,,0,0,Hobart Hurricanes,Sydney Sixers,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
5,LW Feldman,4,0,21,2,5.25,,,,1,0,Hobart Hurricanes,Sydney Sixers,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
6,MC Henriques,2.5,0,28,0,9.88,,,,1,0,Hobart Hurricanes,Sydney Sixers,571248," (N)Big Bash League at Sydney, Dec 26 2012 | Match Summary | ESPNCricinfo",48,2
1,KW Richardson,4,0,27,1,6.75,,,,2,0,Melbourne Stars,Adelaide Strikers,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
2,J Botha,4,0,26,1,6.5,,,,1,0,Melbourne Stars,Adelaide Strikers,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
3,SW Tait,4,0,36,2,9,,,,1,0,Melbourne Stars,Adelaide Strikers,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
4,MJ Johnston,2,0,29,1,14.5,,,,0,0,Melbourne Stars,Adelaide Strikers,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
5,BE Young,3,0,27,1,9,,,,0,0,Melbourne Stars,Adelaide Strikers,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
6,CJ Boyce,1,0,8,0,8,,,,0,0,Melbourne Stars,Adelaide Strikers,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
7,KA Pollard,2,0,19,1,9.5,,,,0,0,Melbourne Stars,Adelaide Strikers,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
1,CA Rose,3,0,32,0,10.66,,,,0,0,Adelaide Strikers,Melbourne Stars,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
2,CJ McKay,4,0,27,0,6.75,,,,2,0,Adelaide Strikers,Melbourne Stars,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
3,JP Faulkner,4,0,32,2,8,,,,1,0,Adelaide Strikers,Melbourne Stars,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
4,SL Malinga,4,0,29,1,7.25,,,,1,0,Adelaide Strikers,Melbourne Stars,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
5,JW Hastings,4,0,37,1,9.25,,,,1,0,Adelaide Strikers,Melbourne Stars,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
6,DJ Hussey,1,0,9,0,9,,,,0,0,Adelaide Strikers,Melbourne Stars,571249," (N)Big Bash League at Adelaide, Dec 27 2012 | Match Summary | ESPNCricinfo",49,2
1,JR Hopes,4,0,15,1,3.75,,,,1,0,Sydney Thunder,Brisbane Heat,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
2,KAJ Roach,4,0,26,0,6.5,,,,4,0,Sydney Thunder,Brisbane Heat,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
3,BCJ Cutting,3,1,12,1,4,,,,1,0,Sydney Thunder,Brisbane Heat,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
4,NM Hauritz,3,0,26,0,8.66,,,,0,0,Sydney Thunder,Brisbane Heat,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
5,NLTC Perera,2,0,19,0,9.5,,,,0,0,Sydney Thunder,Brisbane Heat,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
6,DT Christian,4,0,26,5,6.5,,,,0,0,Sydney Thunder,Brisbane Heat,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
1,SA Abbott,1.4,0,16,0,9.6,,,,0,0,Brisbane Heat,Sydney Thunder,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
2,DP Nannes,4,1,31,2,7.75,,,,1,0,Brisbane Heat,Sydney Thunder,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
3,SJ Coyte,3,0,13,0,4.33,,,,1,0,Brisbane Heat,Sydney Thunder,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
4,CP Tremain,4,0,27,2,6.75,,,,1,0,Brisbane Heat,Sydney Thunder,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
5,A Zampa,4,0,34,1,8.5,,,,0,0,Brisbane Heat,Sydney Thunder,571250," (N)Big Bash League at Sydney, Dec 28 2012 | Match Summary | ESPNCricinfo",50,2
